Title,Dissimilarity Score,Customer,Compared To
73 vs 73,0,73,73
73 vs 4268,0.041720883,73,4268
73 vs 3756,0.080322745,73,3756
73 vs 5922,0.082858145,73,5922
73 vs 1627,0.083180253,73,1627
73 vs 9380,0.090477102,73,9380
73 vs 9404,0.091982396,73,9404
73 vs 6359,0.092926394,73,6359
73 vs 6300,0.093844878,73,6300
73 vs 4663,0.097212655,73,4663
563 vs 5155,-0.07219033,563,5155
563 vs 6008,-0.071896926,563,6008
563 vs 4834,-0.057347876,563,4834
563 vs 9012,-0.057141035,563,9012
563 vs 7527,-0.053664725,563,7527
563 vs 4858,-0.053386912,563,4858
563 vs 1989,-0.048628652,563,1989
563 vs 2975,-0.042805205,563,2975
563 vs 9277,-0.038308458,563,9277
563 vs 8812,-0.035795382,563,8812
1603 vs 2421,-0.153512353,1603,2421
1603 vs 3816,-0.116960071,1603,3816
1603 vs 1403,-0.114255645,1603,1403
1603 vs 8882,-0.109076413,1603,8882
1603 vs 3842,-0.108060127,1603,3842
1603 vs 3696,-0.100153081,1603,3696
1603 vs 190,-0.090679083,1603,190
1603 vs 5107,-0.084136,1603,5107
1603 vs 2489,-0.083467279,1603,2489
1603 vs 8063,-0.078358209,1603,8063
2200 vs 8519,-0.175998214,2200,8519
2200 vs 5124,-0.151811456,2200,5124
2200 vs 1524,-0.147754816,2200,1524
2200 vs 2711,-0.138357359,2200,2711
2200 vs 1002,-0.117878556,2200,1002
2200 vs 1031,-0.104841179,2200,1031
2200 vs 8762,-0.104273504,2200,8762
2200 vs 48,-0.099043245,2200,48
2200 vs 4444,-0.094737849,2200,4444
2200 vs 8486,-0.094291364,2200,8486
3703 vs 3703,0,3703,3703
3703 vs 7835,0.029223844,3703,7835
3703 vs 3886,0.03124123,3703,3886
3703 vs 2100,0.038595484,3703,2100
3703 vs 1029,0.042492665,3703,1029
3703 vs 4318,0.044425309,3703,4318
3703 vs 6773,0.048922056,3703,6773
3703 vs 7611,0.052442914,3703,7611
3703 vs 7571,0.055529333,3703,7571
3703 vs 8035,0.056535698,3703,8035
4263 vs 740,-0.082497768,4263,740
4263 vs 1852,-0.068354807,4263,1852
4263 vs 5155,-0.05738402,4263,5155
4263 vs 2951,-0.056021176,4263,2951
4263 vs 3950,-0.054179651,4263,3950
4263 vs 4179,-0.047608113,4263,4179
4263 vs 9599,-0.042467151,4263,9599
4263 vs 4426,-0.041472127,4263,4426
4263 vs 4355,-0.041268019,4263,4355
4263 vs 8526,-0.040024238,4263,8526
5300 vs 5300,0,5300,5300
5300 vs 7542,0.107177536,5300,7542
5300 vs 8982,0.110192627,5300,8982
5300 vs 339,0.113968618,5300,339
5300 vs 8711,0.117814772,5300,8711
5300 vs 8393,0.122780329,5300,8393
5300 vs 7457,0.124607022,5300,7457
5300 vs 2686,0.12481113,5300,2686
5300 vs 2556,0.125164968,5300,2556
5300 vs 4754,0.125366756,5300,4754
6129 vs 2912,-0.055738402,6129,2912
6129 vs 1642,-0.047078709,6129,1642
6129 vs 6430,-0.044871795,6129,6430
6129 vs 1568,-0.042675511,6129,1568
6129 vs 4270,-0.032102309,6129,4270
6129 vs 2169,-0.0312795,6129,2169
6129 vs 98,-0.030207935,6129,98
6129 vs 9130,-0.028623974,6129,9130
6129 vs 405,-0.024977676,6129,405
6129 vs 2858,-0.021539737,6129,2858
7800 vs 4677,-0.107647659,7800,4677
7800 vs 1660,-0.107271336,7800,1660
7800 vs 4426,-0.105715015,7800,4426
7800 vs 8547,-0.094552877,7800,8547
7800 vs 6668,-0.089109398,7800,6668
7800 vs 4819,-0.08677765,7800,4819
7800 vs 3956,-0.080590637,7800,3956
7800 vs 8534,-0.070072713,7800,8534
7800 vs 8641,-0.07000893,7800,8641
7800 vs 9567,-0.067770124,7800,9567
8555 vs 8797,-0.076687077,8555,8797
8555 vs 1700,-0.072655951,8555,1700
8555 vs 9626,-0.049215461,8555,9626
8555 vs 4676,-0.043302717,8555,4676
8555 vs 804,-0.037759918,8555,804
8555 vs 5625,-0.037657865,8555,5625
8555 vs 22,-0.0339329,8555,22
8555 vs 6610,-0.033811711,8555,6610
8555 vs 2172,-0.028243398,8555,2172
8555 vs 1955,-0.025851512,8555,1955
